,ADAM17.PIK3C,ADAM17.AKT,ADAM17.MTOR_1,ADAM17.BCL2_BCL2L1,ADAM17.FGFR,ADAM17.MAP2K_1,ADAM17.PIK3CB_PIK3CD,AKT.FGFR,AKT.ERBB,AKT.Cisplatin,AKT.ATR_4,AKT.HDAC_4,AKT.TNF,AKT.PIK3CA_4,AKT.PIK3C_2,AKT.AKT_1,AKT.ALK_IGFR,AKT.BCL2L1,AKT.Chloroquine,AKT.CSNK2A1_2,AKT.EGFR,AKT.PIP5K1,AKT.TNKS_PARP6,AKT_1.BCL2_2,AKT_1.BCL2L1,AKT_1.EGFR,AKT_1.ESR1_1,AKT_1.Chloroquine,AKT_1.EGFR_2,AKT_1.PIK3C,AKT_1.ALK_IGFR,AKT_1.BCL2_BCL2L1,AKT_1.ESR1,AKT_1.PIK3C_2,AKT_1.PIK3CB_PIK3CD,AKT_SGK.BCL2_BCL2L1,AKT_SGK.FGFR,AKT_SGK.MAP2K_1,AKT_SGK.PIK3C,ALK.EGFR_2,ALK.PIK3C,ALK.CSNK2A1_2,ALK.MTOR_1,ALK_2.MTOR_1,ALK_2.PIK3CB,ALK_2.TOP2,ALK_IGFR.MTOR_1,ALK_IGFR.PIK3CB_PIK3CD,ATM.Gemcitabine,ATR_4.BCL2_BCL2L1,ATR_4.HDAC_4,ATR_4.IAP,ATR_4.CarboTaxol,ATR_4.MAP2K_1,ATR_4.MTOR_1,BCL2.CarboTaxol,BCL2.Topotecan,BCL2.CSNK2A1_2,BCL2.IGFR_4,BCL2.Oxaliplatin,BCL2.MAP2K_1,BCL2_2.Vinorelbine,BCL2_2.EGFR_2,BCL2_BCL2L1.FGFR,BCL2_BCL2L1.Gemcitabine,BCL2_BCL2L1.IAP,BCL2_BCL2L1.MAP2K_1,BCL2_BCL2L1.PIM1,BCL2_BCL2L1.PIK3CA_4,BCL2_BCL2L1.EGFR,BCL2_BCL2L1.FASN,BCL2_BCL2L1.SLC16A4,BCL2_BCL2L1_BCL2L2.FGFR,BCL2L1.CarboTaxol,BCL2L1.Vinorelbine,BCL2L1.MTOR_1,BCL2L1.PIK3C,BCL2L1.IAP,BRAF_M.MAP2K_1,BRAF_M2.MAP2K_3,BRAF_M2.MAP2K_1,Carboplatin.CSNK2A1_2,CarboTaxol.CSNK2A1_2,CHEK1.IAP,Chloroquine.PIK3C,Chloroquine.FGFR,Cisplatin.FGFR,Cisplatin.HDAC_4,Cisplatin.PIK3C,Cisplatin.PARP1,CSNK2A1_2.Gemcitabine,CSNK2A1_2.SYK,CSNK2A1_2.PIK3CA_3,CSNK2A1_2.TNFSF10,Doxorubicin.TOP2,Doxorubicin.IAP,EG5.PIK3CB_PIK3CD,EG5.PARP1,EG5.PIM1,EGFR.FGFR,EGFR.MAP2K_1,ERBB.FGFR,ERBB.IAP,ERBB.MTOR_1,ERBB.Gemcitabine,ERBB.MAP2K_1,ERBB.PIK3CA_4,ESR1.FGFR,ESR1.MTOR_1,ESR1.MAP2K_1,ESR1_1.PIK3C,ESR1_1.MTOR_1,ESR1_3.MTOR_1,FASN.MAP2K_1,FASN.MTOR_1,FGFR.MTOR_1,FGFR.SLC16A4,FGFR.TNKS_PARP6,FGFR.Proteasome_2,FGFR.PIK3C_MTOR,FGFR.MTOR_3,FGFR.WNT,Gemcitabine.PARP1,HDAC_4.PARP1,HSP90.PARP1,HSP90.PIK3C,HSP90.MAP2K_1,IAP.PIK3CA_3,IAP.PIK3CB,IAP.PARP1,IAP.PIK3C,IAP.IGFR_3,IAP.SN38,IAP.TOP2_2,IAP.Topotecan,IAP.Vinorelbine,IAP.IGFR_4,IAP.Oxaliplatin,IAP.PTK2,IAP.JAK,IAP.TNF,IGFR_3.MAP2K_1,IGFR_3.TKI,IGFR_4.MAP2K_1,JAK.MTOR,MAP2K_1.PIM1,MAP2K_1.MTOR_1,MAP2K_1.PIK3C,MAP2K_1.SLC16A4,MAP2K_1.TKI,MAP2K_1.PIP5K1,MAP2K_1.PTK2,MAP2K_3.PIK3C,MTOR_1.PIK3C,MTOR_1.PIK3CA_4,MTOR_1.TNKS_PARP6,MTOR_1.SLC16A4,PARP1.PIK3C,PARP1.PIK3CB_PIK3CD,PIK3C.PIM1,PIK3C.PIP5K1,PIK3C.TNFSF10,PIK3C_2.PIK3CA_4,PIK3CB.Topotecan,PIK3CB_PIK3CD.PIP5K1,PIK3CB_PIK3CD.TNKS_PARP6,PIK3CB_PIK3CD.SLC16A4,PIK3CB_PIK3CD.PIK3CB_PIK3CD,PIM1.TOP2_2
AKT.ATR_4,0,0.75,0,0,0,0,0,0.612372436,0.670820393,0.75,1,0.760638829,0.75,0.75,0.751920618,0.866025404,0.670820393,0.75,0.75,0.75,0.75,0.75,0.670820393,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.612372436,0.496563533,0.496563533,0.609207699,0.612372436,0.496563533,0.429668924,0.38411064,0.429668924,0.498272879,0,0,0,0,0,0,0,0,0,0,0.288675135,0.363803438,0.223606798,0.353553391,0.288675135,0.353553391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT.HDAC_4,0,0.760638829,0,0,0,0,0,0.621059003,0.680336051,0.760638829,0.760638829,1,0.760638829,0.760638829,0.762586691,0.878310066,0.680336051,0.760638829,0.760638829,0.760638829,0.760638829,0.760638829,0.680336051,0.617849375,0.617849375,0.617849375,0.617849375,0.617849375,0.617849375,0.621059003,0.503607339,0.503607339,0.617849375,0.621059003,0.503607339,0.435763824,0.38955929,0.435763824,0.505340933,0,0,0,0,0,0,0,0,0,0,0,0.327968025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327968025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327968025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT.TNF,0,0.75,0,0,0,0,0,0.612372436,0.670820393,0.75,0.75,0.760638829,1,0.75,0.751920618,0.866025404,0.670820393,0.75,0.75,0.75,0.75,0.75,0.670820393,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.612372436,0.496563533,0.496563533,0.609207699,0.612372436,0.496563533,0.429668924,0.38411064,0.429668924,0.498272879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223606798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT.PIK3CA_4,0.203069233,0.75,0,0,0,0,0,0.612372436,0.670820393,0.75,0.75,0.760638829,0.75,1,0.895143593,0.866025404,0.670820393,0.75,0.75,0.75,0.75,0.75,0.670820393,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.816496581,0.496563533,0.496563533,0.609207699,0.816496581,0.496563533,0.429668924,0.38411064,0.429668924,0.664363839,0,0.203069233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288675135,0,0,0,0,0,0,0,0.203069233,0,0,0,0,0,0,0,0.203069233,0,0,0,0.203069233,0,0,0,0.353553391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288675135,0,0,0,0.203069233,0,0,0,0,0,0,0,0,0.12803688,0,0,0,0,0,0.203069233,0,0.223606798,0,0,0.12803688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165521178,0,0,0,0,0.209019904,0.203069233,0.353553391,0,0,0.203069233,0,0.203069233,0.203069233,0.203069233,0.444648646,0,0,0,0,0,0
AKT.PIK3C_2,0.349010156,0.751920618,0,0,0,0,0.330759292,0.613940614,0.672538246,0.751920618,0.751920618,0.762586691,0.751920618,0.895143593,1,0.868243142,0.672538246,0.751920618,0.751920618,0.751920618,0.751920618,0.751920618,0.672538246,0.610767773,0.610767773,0.610767773,0.610767773,0.610767773,0.610767773,0.964763821,0.497835145,0.497835145,0.610767773,0.964763821,0.829725241,0.430769231,0.385094279,0.430769231,0.785005364,0,0.349010156,0,0,0,0.202547873,0,0,0.28644595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165379646,0,0,0,0,0,0,0,0.349010156,0,0,0,0,0,0,0,0.349010156,0,0,0,0.349010156,0,0,0,0.202547873,0,0,0,0.330759292,0,0,0,0,0,0,0,0,0,0.165379646,0,0,0,0.349010156,0,0,0,0,0,0,0,0,0.220053874,0,0,0,0,0,0.349010156,0,0.128102523,0.128102523,0,0.220053874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284477226,0,0,0,0,0.35923743,0.349010156,0.202547873,0,0,0.349010156,0.330759292,0.349010156,0.349010156,0.349010156,0.439997867,0.143222975,0.330759292,0.28644595,0.28644595,0.28644595,0
AKT.AKT_1,0,0.866025404,0,0,0,0,0,0.707106781,0.774596669,0.866025404,0.866025404,0.878310066,0.866025404,0.866025404,0.868243142,1,0.774596669,0.866025404,0.866025404,0.866025404,0.866025404,0.866025404,0.774596669,0.703452458,0.703452458,0.703452458,0.703452458,0.703452458,0.703452458,0.707106781,0.573382179,0.573382179,0.703452458,0.707106781,0.573382179,0.496138938,0.443532763,0.496138938,0.575355962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT.ALK_IGFR,0,0.670820393,0,0,0,0,0,0.547722558,0.6,0.670820393,0.670820393,0.680336051,0.670820393,0.670820393,0.672538246,0.774596669,1,0.670820393,0.670820393,0.670820393,0.670820393,0.670820393,0.6,0.544891931,0.544891931,0.544891931,0.544891931,0.544891931,0.544891931,0.547722558,0.962303173,0.444139926,0.544891931,0.547722558,0.444139926,0.384307569,0.343559001,0.384307569,0.445668812,0.316227766,0.317853626,0.316227766,0.316227766,0.316227766,0.316227766,0.25819889,0.516397779,0.447213595,0,0,0,0,0,0,0,0,0,0,0.316227766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0.25819889,0.223606798,0.25819889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT.BCL2L1,0,0.75,0,0,0,0,0,0.612372436,0.670820393,0.75,0.75,0.760638829,0.75,0.75,0.751920618,0.866025404,0.670820393,1,0.75,0.75,0.75,0.75,0.670820393,0.609207699,0.964578857,0.609207699,0.609207699,0.609207699,0.609207699,0.612372436,0.496563533,0.496563533,0.609207699,0.612372436,0.496563533,0.429668924,0.38411064,0.429668924,0.498272879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204124145,0.353553391,0.288675135,0.353553391,0.355371158,0.223606798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT.Chloroquine,0,0.75,0,0,0,0,0,0.612372436,0.670820393,0.75,0.75,0.760638829,0.75,0.75,0.751920618,0.866025404,0.670820393,0.75,1,0.75,0.75,0.75,0.670820393,0.609207699,0.609207699,0.609207699,0.609207699,0.964578857,0.609207699,0.612372436,0.496563533,0.496563533,0.609207699,0.612372436,0.496563533,0.429668924,0.38411064,0.429668924,0.498272879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355371158,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT.CSNK2A1_2,0,0.75,0,0,0,0,0,0.612372436,0.670820393,0.75,0.75,0.760638829,0.75,0.75,0.751920618,0.866025404,0.670820393,0.75,0.75,1,0.75,0.75,0.670820393,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.612372436,0.496563533,0.496563533,0.609207699,0.612372436,0.496563533,0.429668924,0.38411064,0.429668924,0.498272879,0,0,0.353553391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553391,0.353553391,0,0,0,0,0,0,0,0.223606798,0.353553391,0.353553391,0.353553391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT.EGFR,0,0.75,0,0,0,0,0,0.612372436,0.894427191,0.75,0.75,0.760638829,0.75,0.75,0.751920618,0.866025404,0.670820393,0.75,0.75,0.75,1,0.75,0.670820393,0.609207699,0.609207699,0.964578857,0.609207699,0.609207699,0.964578857,0.612372436,0.496563533,0.496563533,0.609207699,0.612372436,0.496563533,0.429668924,0.38411064,0.429668924,0.498272879,0.353553391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553391,0,0,0,0,0,0,0.288675135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.288675135,0.223606798,0.204124145,0.288675135,0.204124145,0.25,0.288675135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.223606798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT.PIP5K1,0,0.75,0,0,0,0,0,0.612372436,0.670820393,0.75,0.75,0.760638829,0.75,0.75,0.751920618,0.866025404,0.670820393,0.75,0.75,0.75,0.75,1,0.670820393,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.612372436,0.496563533,0.496563533,0.609207699,0.612372436,0.496563533,0.429668924,0.38411064,0.429668924,0.498272879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288675135,0,0,0,0,0,0,0,0,0,0.355371158,0,0,0,0.288675135,0,0,0,0
AKT.TNKS_PARP6,0,0.670820393,0,0,0,0,0,0.547722558,0.6,0.670820393,0.670820393,0.680336051,0.670820393,0.670820393,0.672538246,0.774596669,0.6,0.670820393,0.670820393,0.670820393,0.670820393,0.670820393,1,0.544891931,0.544891931,0.544891931,0.544891931,0.544891931,0.544891931,0.547722558,0.444139926,0.444139926,0.544891931,0.547722558,0.444139926,0.384307569,0.343559001,0.384307569,0.445668812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516397779,0,0,0,0,0,0,0,0,0,0.447213595,0,0,0
AKT_1.BCL2_2,0,0.609207699,0,0.410347267,0,0,0,0.497416003,0.544891931,0.609207699,0.609207699,0.617849375,0.609207699,0.609207699,0.610767773,0.703452458,0.544891931,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.544891931,1,0.494845361,0.494845361,0.494845361,0.494845361,0.494845361,0.497416003,0.403347103,0.815097271,0.494845361,0.497416003,0.403347103,0.705291356,0.312004212,0.349010156,0.404735566,0,0,0,0,0,0,0,0,0,0,0.410347267,0,0,0,0,0,0.502570711,0.355371158,0.502570711,0.502570711,0.502570711,0.410347267,0.410347267,0.502570711,0.317853626,0.290159335,0.290159335,0.355371158,0.410347267,0.410347267,0.410347267,0.410347267,0.355371158,0.290159335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT_1.BCL2L1,0,0.609207699,0,0,0,0,0,0.497416003,0.544891931,0.609207699,0.609207699,0.617849375,0.609207699,0.609207699,0.610767773,0.703452458,0.544891931,0.964578857,0.609207699,0.609207699,0.609207699,0.609207699,0.544891931,0.494845361,1,0.494845361,0.494845361,0.494845361,0.494845361,0.497416003,0.403347103,0.403347103,0.494845361,0.497416003,0.403347103,0.349010156,0.312004212,0.349010156,0.404735566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290159335,0.502570711,0.410347267,0.502570711,0.505154639,0.317853626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT_1.EGFR,0,0.609207699,0,0,0,0,0,0.497416003,0.862745557,0.609207699,0.609207699,0.617849375,0.609207699,0.609207699,0.610767773,0.703452458,0.544891931,0.609207699,0.609207699,0.609207699,0.964578857,0.609207699,0.544891931,0.494845361,0.494845361,1,0.494845361,0.494845361,1,0.497416003,0.403347103,0.403347103,0.494845361,0.497416003,0.403347103,0.349010156,0.312004212,0.349010156,0.404735566,0.502570711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502570711,0,0,0,0,0,0,0.410347267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355371158,0.410347267,0.317853626,0.290159335,0.410347267,0.290159335,0.355371158,0.410347267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355371158,0,0,0,0,0,0,0.317853626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT_1.ESR1_1,0,0.609207699,0,0,0,0,0,0.497416003,0.544891931,0.609207699,0.609207699,0.617849375,0.609207699,0.609207699,0.610767773,0.703452458,0.544891931,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.544891931,0.494845361,0.494845361,0.494845361,1,0.494845361,0.494845361,0.497416003,0.403347103,0.403347103,1,0.497416003,0.403347103,0.349010156,0.312004212,0.349010156,0.404735566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355371158,0.502570711,0.410347267,0.505154639,0.502570711,0.502570711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT_1.Chloroquine,0,0.609207699,0,0,0,0,0,0.497416003,0.544891931,0.609207699,0.609207699,0.617849375,0.609207699,0.609207699,0.610767773,0.703452458,0.544891931,0.609207699,0.964578857,0.609207699,0.609207699,0.609207699,0.544891931,0.494845361,0.494845361,0.494845361,0.494845361,1,0.494845361,0.497416003,0.403347103,0.403347103,0.494845361,0.497416003,0.403347103,0.349010156,0.312004212,0.349010156,0.404735566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505154639,0.355371158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT_1.EGFR_2,0,0.609207699,0,0,0,0,0,0.497416003,0.862745557,0.609207699,0.609207699,0.617849375,0.609207699,0.609207699,0.610767773,0.703452458,0.544891931,0.609207699,0.609207699,0.609207699,0.964578857,0.609207699,0.544891931,0.494845361,0.494845361,1,0.494845361,0.494845361,1,0.497416003,0.403347103,0.403347103,0.494845361,0.497416003,0.403347103,0.349010156,0.312004212,0.349010156,0.404735566,0.502570711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502570711,0,0,0,0,0,0,0.410347267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355371158,0.410347267,0.317853626,0.290159335,0.410347267,0.290159335,0.355371158,0.410347267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355371158,0,0,0,0,0,0,0.317853626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT_1.PIK3C,0.497416003,0.612372436,0,0,0,0,0.471404521,0.5,0.547722558,0.612372436,0.612372436,0.621059003,0.612372436,0.816496581,0.964763821,0.707106781,0.547722558,0.612372436,0.612372436,0.612372436,0.612372436,0.612372436,0.547722558,0.497416003,0.497416003,0.497416003,0.497416003,0.497416003,0.497416003,1,0.405442427,0.405442427,0.497416003,1,0.878458592,0.350823208,0.313625024,0.350823208,0.813676204,0,0.497416003,0,0,0,0.288675135,0,0,0.40824829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23570226,0,0,0,0,0,0,0,0.497416003,0,0,0,0,0,0,0,0.497416003,0,0,0,0.497416003,0,0,0,0.288675135,0,0,0,0.471404521,0,0,0,0,0,0,0,0,0,0.23570226,0,0,0,0.497416003,0,0,0,0,0,0,0,0,0.313625024,0,0,0,0,0,0.497416003,0,0.182574186,0.182574186,0,0.313625024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405442427,0,0,0,0,0.511992112,0.497416003,0.288675135,0,0,0.497416003,0.471404521,0.497416003,0.497416003,0.497416003,0.627093444,0.204124145,0.471404521,0.40824829,0.40824829,0.40824829,0
AKT_1.ALK_IGFR,0,0.496563533,0,0,0,0,0,0.405442427,0.444139926,0.496563533,0.496563533,0.503607339,0.496563533,0.496563533,0.497835145,0.573382179,0.962303173,0.496563533,0.496563533,0.496563533,0.496563533,0.496563533,0.444139926,0.403347103,0.403347103,0.403347103,0.403347103,0.403347103,0.403347103,0.405442427,1,0.328767123,0.403347103,0.405442427,0.328767123,0.284477226,0.254313782,0.284477226,0.329898855,0.409644015,0.411750168,0.409644015,0.409644015,0.409644015,0.409644015,0.334472938,0.668945876,0.579324122,0,0,0,0,0,0,0,0,0,0,0.409644015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259081624,0,0,0,0,0.259081624,0,0,0,0,0.334472938,0.289662061,0.334472938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT_1.BCL2_BCL2L1,0,0.496563533,0,0.668945876,0,0,0,0.405442427,0.444139926,0.496563533,0.496563533,0.503607339,0.496563533,0.496563533,0.497835145,0.573382179,0.444139926,0.496563533,0.496563533,0.496563533,0.496563533,0.496563533,0.444139926,0.815097271,0.403347103,0.403347103,0.403347103,0.403347103,0.403347103,0.405442427,0.328767123,1,0.403347103,0.405442427,0.328767123,0.865284895,0.254313782,0.284477226,0.329898855,0,0,0,0,0,0,0,0,0,0,0.668945876,0,0,0,0,0,0.409644015,0.289662061,0.409644015,0.409644015,0.409644015,0.334472938,0.334472938,0.409644015,0.518163247,0.473016165,0.473016165,0.579324122,0.668945876,0.668945876,0.668945876,0.668945876,0.579324122,0.236508082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
