"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
"CAL-51",0.322834645669291,0.228346456692913,0.165354330708661,0.015748031496063,0,0,0,0,0,0,0,0,0,0,0,0.259842519685039,0.0078740157480315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calu-3",0.113756613756614,0.0423280423280423,0.116402116402116,0.121693121693122,0.0687830687830688,0.0211640211640212,0.00264550264550265,0.00529100529100529,0.00529100529100529,0,0,0,0,0,0,0.0582010582010582,0.164021164021164,0.108465608465608,0.037037037037037,0.0105820105820106,0.00529100529100529,0,0.00529100529100529,0,0.00264550264550265,0,0,0,0.0423280423280423,0.0396825396825397,0.0185185185185185,0.00264550264550265,0,0,0,0,0,0,0.00264550264550265,0.00264550264550265,0,0.00264550264550265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calu-6",0.11070110701107,0.029520295202952,0.254612546125461,0.0848708487084871,0.0479704797047971,0.014760147601476,0.00738007380073801,0,0,0,0,0,0,0,0,0.0627306273062731,0.217712177121771,0.03690036900369,0.011070110701107,0.00738007380073801,0.003690036900369,0.003690036900369,0,0,0,0,0,0,0.0627306273062731,0.014760147601476,0.014760147601476,0.011070110701107,0.003690036900369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMA-1",0.111969111969112,0.142857142857143,0.177606177606178,0.0694980694980695,0.0154440154440154,0.0115830115830116,0.00386100386100386,0,0,0,0,0.00386100386100386,0,0,0,0.250965250965251,0.142857142857143,0.0501930501930502,0.0154440154440154,0.00386100386100386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COLO-205",0.140625,0.0357142857142857,0.138392857142857,0.133928571428571,0.0892857142857143,0.015625,0.00669642857142857,0.015625,0.00446428571428571,0.00223214285714286,0,0.00446428571428571,0.00223214285714286,0,0.00223214285714286,0.0223214285714286,0.185267857142857,0.0290178571428571,0.0178571428571429,0.00223214285714286,0.00669642857142857,0,0,0.00223214285714286,0,0,0.00223214285714286,0.00446428571428571,0.0558035714285714,0.0245535714285714,0.00446428571428571,0.0223214285714286,0.00669642857142857,0.00446428571428571,0.00446428571428571,0.00446428571428571,0.00223214285714286,0,0.00446428571428571,0,0,0.00223214285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMS-114",0.0966057441253264,0.0287206266318538,0.12532637075718,0.156657963446475,0.0757180156657963,0.0156657963446475,0.00783289817232376,0.0156657963446475,0.00261096605744125,0.00261096605744125,0.00261096605744125,0.00261096605744125,0,0,0,0.02088772845953,0.177545691906005,0.0574412532637076,0.010443864229765,0.0130548302872063,0.00783289817232376,0,0.010443864229765,0.00261096605744125,0.00261096605744125,0,0,0.00261096605744125,0.10443864229765,0.0417754569190601,0.00261096605744125,0,0,0.00261096605744125,0.00261096605744125,0,0.00261096605744125,0.00522193211488251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DU-4475",0.0764119601328904,0.0232558139534884,0.182724252491694,0.026578073089701,0.116279069767442,0.026578073089701,0.00664451827242525,0.0132890365448505,0.00332225913621262,0.00332225913621262,0,0,0,0,0.00332225913621262,0.00996677740863787,0.079734219269103,0.0664451827242525,0.0166112956810631,0.0132890365448505,0.00996677740863787,0.00332225913621262,0.00332225913621262,0,0,0,0,0,0.262458471760797,0.0332225913621262,0.00664451827242525,0.0132890365448505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EVSA-T",0.0618556701030928,0.0481099656357388,0.175257731958763,0.0859106529209622,0.0584192439862543,0.0446735395189003,0.00687285223367698,0.013745704467354,0.00343642611683849,0.00343642611683849,0,0,0,0,0.00343642611683849,0.0962199312714777,0.171821305841924,0.0756013745704467,0.0171821305841924,0.0171821305841924,0,0,0.00343642611683849,0.00343642611683849,0.00343642611683849,0,0,0,0.0652920962199313,0.0309278350515464,0.0103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCC1143",0.0940499040307102,0.0211132437619962,0.072936660268714,0.151631477927063,0.134357005758157,0.0518234165067179,0.0211132437619962,0.00767754318618042,0.00383877159309021,0.00191938579654511,0,0,0,0,0.00191938579654511,0.00383877159309021,0.0748560460652591,0.0671785028790787,0.0441458733205374,0.017274472168906,0,0.00191938579654511,0,0.00191938579654511,0.00191938579654511,0.00383877159309021,0,0,0.0806142034548944,0.0595009596928983,0.0287907869481766,0.0191938579654511,0.00575815738963532,0.00191938579654511,0.00383877159309021,0,0.00191938579654511,0,0,0.0134357005758157,0.00191938579654511,0.00383877159309021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCC1187",0.165584415584416,0.0487012987012987,0.262987012987013,0.11038961038961,0.0974025974025974,0.0292207792207792,0.00324675324675325,0.00324675324675325,0,0,0,0,0,0,0,0.00324675324675325,0.0779220779220779,0.0357142857142857,0.0227272727272727,0,0,0,0,0,0,0,0,0,0.0941558441558442,0.0292207792207792,0.00974025974025974,0.00324675324675325,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCC1395",0.127102803738318,0.0654205607476635,0.218691588785047,0.11214953271028,0.0878504672897196,0.0299065420560748,0.00747663551401869,0.00186915887850467,0,0,0,0,0,0,0.00186915887850467,0.0523364485981308,0.134579439252336,0.0411214953271028,0.0242990654205607,0.00934579439252336,0.00186915887850467,0,0,0.00186915887850467,0,0,0,0,0.0654205607476635,0.0130841121495327,0.00373831775700935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCC1419",0.0575916230366492,0.0130890052356021,0.0654450261780105,0.0837696335078534,0.107329842931937,0.0261780104712042,0.0130890052356021,0.00523560209424084,0,0,0,0,0,0,0,0.0104712041884817,0.146596858638743,0.0523560209424084,0.0261780104712042,0.0157068062827225,0.0183246073298429,0.0104712041884817,0.0130890052356021,0.00523560209424084,0.00261780104712042,0.00261780104712042,0,0.0104712041884817,0.154450261780105,0.0183246073298429,0.0157068062827225,0.0130890052356021,0.0104712041884817,0.00785340314136126,0.031413612565445,0.0157068062827225,0.0130890052356021,0.0104712041884817,0.0235602094240838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCC1428",0.104545454545455,0.0272727272727273,0.140909090909091,0.0727272727272727,0.120454545454545,0.0363636363636364,0.0204545454545455,0.00681818181818182,0,0,0.00227272727272727,0,0,0,0.00227272727272727,0,0.0954545454545455,0.0181818181818182,0.00681818181818182,0.0113636363636364,0.00909090909090909,0.0113636363636364,0.0113636363636364,0.00227272727272727,0,0,0,0,0.131818181818182,0.0795454545454545,0.0613636363636364,0.0159090909090909,0.00227272727272727,0.00454545454545455,0.00454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCC1500",0.133986928104575,0.241830065359477,0.205882352941176,0.0457516339869281,0.0065359477124183,0.00326797385620915,0.00326797385620915,0,0,0,0,0,0,0,0,0.215686274509804,0.0947712418300654,0.0294117647058824,0.0130718954248366,0,0.00326797385620915,0,0.00326797385620915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCC1569",0.116279069767442,0.0775193798449612,0.149870801033592,0.10594315245478,0.0645994832041344,0.0258397932816537,0.00516795865633075,0.00258397932816537,0.00258397932816537,0,0,0,0,0,0,0.0568475452196382,0.157622739018088,0.0775193798449612,0.0516795865633075,0.0180878552971576,0,0.00775193798449612,0,0.00258397932816537,0,0.00258397932816537,0.00258397932816537,0,0.0465116279069767,0.020671834625323,0.00516795865633075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCC1806",0.0798722044728434,0.185303514376997,0.185303514376997,0.108626198083067,0.0383386581469649,0.012779552715655,0.0159744408945687,0.00638977635782748,0,0,0,0,0,0,0,0.0862619808306709,0.118210862619808,0.073482428115016,0.00958466453674121,0.012779552715655,0,0.00638977635782748,0,0,0,0,0,0,0.0383386581469649,0.0159744408945687,0.00319488817891374,0.00319488817891374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCC1937",0.0758807588075881,0.00542005420054201,0.02710027100271,0.037940379403794,0.0650406504065041,0.021680216802168,0.016260162601626,0.002710027100271,0.010840108401084,0.00542005420054201,0,0,0.002710027100271,0,0.002710027100271,0.043360433604336,0.0948509485094851,0.157181571815718,0.0921409214092141,0.040650406504065,0.013550135501355,0.013550135501355,0.00542005420054201,0.002710027100271,0.002710027100271,0,0,0,0.0731707317073171,0.0840108401084011,0.016260162601626,0.010840108401084,0.00542005420054201,0,0.002710027100271,0,0,0,0,0.021680216802168,0.024390243902439,0.00542005420054201,0.00542005420054201,0,0,0,0,0,0.00813008130081301,0,0,0.002710027100271,0,0,0,0,0,0
"HCC1954",0.0420168067226891,0.00336134453781513,0.0168067226890756,0.0302521008403361,0.105882352941176,0.0302521008403361,0.026890756302521,0.0117647058823529,0.0117647058823529,0.00672268907563025,0.00336134453781513,0.00336134453781513,0.00168067226890756,0,0,0.00672268907563025,0.0941176470588235,0.0823529411764706,0.0420168067226891,0.0218487394957983,0.00840336134453781,0.00336134453781513,0.00168067226890756,0.00336134453781513,0.00336134453781513,0.00672268907563025,0.00168067226890756,0.0151260504201681,0.0705882352941176,0.107563025210084,0.0470588235294118,0.0134453781512605,0.0201680672268908,0.0100840336134454,0.00672268907563025,0.00168067226890756,0.00336134453781513,0.00168067226890756,0.0151260504201681,0.0285714285714286,0.0184873949579832,0.0100840336134454,0.00840336134453781,0.00336134453781513,0.00168067226890756,0.00336134453781513,0.00336134453781513,0.00840336134453781,0.00504201680672269,0.00672268907563025,0.00336134453781513,0.00336134453781513,0.00168067226890756,0.00168067226890756,0.00672268907563025,0,0.00168067226890756,0.00168067226890756
"HCC38",0.123844731977819,0.22181146025878,0.266173752310536,0.0573012939001848,0.00739371534195933,0.00369685767097967,0,0,0,0,0,0,0,0,0,0.170055452865065,0.129390018484288,0.00924214417744917,0.00369685767097967,0,0,0,0,0,0,0,0,0,0.00369685767097967,0.00184842883548983,0,0.00184842883548983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCC70",0.145631067961165,0.029126213592233,0.0485436893203883,0.0922330097087379,0.087378640776699,0.0242718446601942,0.029126213592233,0.00970873786407767,0.00485436893203883,0,0,0,0,0,0,0.00485436893203883,0.101941747572816,0.0436893203883495,0.0388349514563107,0.0436893203883495,0.0242718446601942,0.0145631067961165,0.00485436893203883,0,0,0,0,0,0.0339805825242718,0.0485436893203883,0.029126213592233,0.029126213592233,0.0145631067961165,0.00970873786407767,0.0145631067961165,0,0,0,0,0.0388349514563107,0.00970873786407767,0.0145631067961165,0,0,0,0,0,0,0.00485436893203883,0,0.00485436893203883,0,0,0,0,0,0,0
"HCT-116",0.163265306122449,0.136054421768707,0.261904761904762,0.0578231292517007,0.00680272108843537,0,0,0,0,0,0,0,0,0,0,0.30952380952381,0.0646258503401361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hs-578-T",0.18859649122807,0.0482456140350877,0.228070175438596,0.12719298245614,0.0263157894736842,0.0307017543859649,0.0043859649122807,0,0,0,0,0,0,0,0,0.087719298245614,0.197368421052632,0,0,0,0,0,0,0,0,0,0,0,0.0394736842105263,0.0219298245614035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HT-1197",0.0991735537190083,0.0275482093663912,0.0964187327823691,0.0964187327823691,0.0716253443526171,0.0303030303030303,0.0110192837465565,0.00826446280991736,0.00826446280991736,0.00826446280991736,0,0.00275482093663912,0.00826446280991736,0.00275482093663912,0.0192837465564738,0.0495867768595041,0.203856749311295,0.0440771349862259,0.0110192837465565,0.00826446280991736,0,0,0,0,0,0,0.00275482093663912,0,0.148760330578512,0.0247933884297521,0.00826446280991736,0.00826446280991736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HT-1376",0.100393700787402,0.00984251968503937,0.0216535433070866,0.0492125984251969,0.0846456692913386,0.100393700787402,0.0748031496062992,0.0236220472440945,0.0196850393700787,0.0078740157480315,0,0,0.00196850393700787,0,0.00196850393700787,0.0078740157480315,0.0216535433070866,0.0393700787401575,0.0354330708661417,0.0137795275590551,0.00393700787401575,0.00196850393700787,0,0,0,0,0,0,0.0295275590551181,0.0925196850393701,0.078740157480315,0.0078740157480315,0.0137795275590551,0.00196850393700787,0.00393700787401575,0,0,0,0,0.0492125984251969,0.0531496062992126,0.0177165354330709,0.00984251968503937,0.00393700787401575,0.00196850393700787,0,0,0.00196850393700787,0.00590551181102362,0.00590551181102362,0,0,0,0,0.00196850393700787,0,0,0
"HT-29",0.102222222222222,0.0533333333333333,0.146666666666667,0.106666666666667,0.0711111111111111,0.0222222222222222,0.00888888888888889,0.00222222222222222,0.00666666666666667,0.00222222222222222,0,0,0.00222222222222222,0,0,0.0666666666666667,0.237777777777778,0.0555555555555556,0.0133333333333333,0,0.00222222222222222,0,0,0,0,0,0,0,0.0688888888888889,0.0244444444444444,0,0,0.00222222222222222,0.00444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J82",0.107583774250441,0.00529100529100529,0.0758377425044092,0.118165784832451,0.104056437389771,0.0229276895943563,0.0141093474426808,0.00529100529100529,0.00705467372134039,0.00529100529100529,0.00529100529100529,0.0017636684303351,0.0017636684303351,0,0.0105820105820106,0.0776014109347443,0.121693121693122,0.0529100529100529,0.00529100529100529,0,0.0017636684303351,0,0,0.0017636684303351,0,0,0,0,0.121693121693122,0.0899470899470899,0.0158730158730159,0.00529100529100529,0.0017636684303351,0.00352733686067019,0,0,0,0,0,0.00881834215167548,0.00529100529100529,0,0,0,0,0,0.0017636684303351,0,0,0,0,0,0,0,0,0,0,0
"KATOIII",0.130030959752322,0.0371517027863777,0.0928792569659443,0.126934984520124,0.0773993808049536,0.0340557275541796,0.0154798761609907,0.00928792569659443,0.00309597523219814,0.00619195046439629,0,0,0,0,0.00309597523219814,0.0309597523219814,0.154798761609907,0.0773993808049536,0.00928792569659443,0,0,0,0.00309597523219814,0.00309597523219814,0,0,0,0.00619195046439629,0.0588235294117647,0.0526315789473684,0.0495356037151703,0.0185758513931889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KMS-11",0.0984340044742729,0.0514541387024608,0.114093959731544,0.100671140939597,0.118568232662192,0.0223713646532438,0.0134228187919463,0,0,0,0,0,0,0,0,0.0671140939597315,0.187919463087248,0.0357941834451902,0.0156599552572707,0.00671140939597315,0.00447427293064877,0,0,0,0,0,0,0,0.123042505592841,0.0357941834451902,0,0.00447427293064877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KU-19-19",0.114285714285714,0.0285714285714286,0.080952380952381,0.0476190476190476,0.0857142857142857,0.0285714285714286,0.00476190476190476,0.00952380952380952,0,0,0,0,0,0,0,0.0428571428571429,0.214285714285714,0.0571428571428571,0.0380952380952381,0,0.00476190476190476,0.00476190476190476,0.00476190476190476,0,0.00476190476190476,0.00476190476190476,0,0,0.128571428571429,0.0476190476190476,0.0333333333333333,0.00952380952380952,0.00476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LS-513",0.193832599118943,0.127753303964758,0.176211453744493,0.0837004405286344,0.0176211453744493,0.0176211453744493,0.013215859030837,0,0.013215859030837,0.00440528634361234,0,0.00440528634361234,0.00440528634361234,0,0.00440528634361234,0.215859030837004,0.101321585903084,0.013215859030837,0,0,0,0,0.00440528634361234,0,0,0,0,0,0,0.00440528634361234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M14",0.12621359223301,0.0266990291262136,0.155339805825243,0.143203883495146,0.0898058252427184,0.0145631067961165,0.00242718446601942,0,0,0.00242718446601942,0,0,0,0,0,0.0606796116504854,0.20631067961165,0.0315533980582524,0.0194174757281553,0,0,0,0,0,0,0,0,0,0.0970873786407767,0.0218446601941748,0.00242718446601942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCF7",0.0514285714285714,0.0385714285714286,0.127142857142857,0.11,0.118571428571429,0.0157142857142857,0.0114285714285714,0.01,0.00142857142857143,0,0,0.00142857142857143,0,0,0,0.0528571428571429,0.194285714285714,0.0542857142857143,0.0157142857142857,0.00857142857142857,0.00142857142857143,0.00428571428571429,0.00285714285714286,0.00142857142857143,0,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.107142857142857,0.03,0.0185714285714286,0.00428571428571429,0,0,0,0,0,0.00142857142857143,0.00285714285714286,0.00428571428571429,0.00142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDA-MB-157",0.160804020100503,0.0678391959798995,0.241206030150754,0.0979899497487437,0.0879396984924623,0.0326633165829146,0.0175879396984925,0.00251256281407035,0.00251256281407035,0,0,0,0,0,0,0.0351758793969849,0.115577889447236,0.0326633165829146,0.00251256281407035,0,0,0,0,0,0,0,0,0,0.0653266331658292,0.0150753768844221,0.0150753768844221,0,0.00251256281407035,0,0,0,0,0,0,0.00251256281407035,0,0.00251256281407035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDA-MB-175-VII",0.123636363636364,0.0145454545454545,0.08,0.112727272727273,0.0509090909090909,0.0472727272727273,0.0145454545454545,0.00727272727272727,0.00727272727272727,0,0,0.00727272727272727,0,0,0,0.00363636363636364,0.12,0.0145454545454545,0.04,0.0290909090909091,0.00727272727272727,0,0,0,0,0,0,0,0.112727272727273,0.0909090909090909,0.0545454545454545,0.00727272727272727,0.0109090909090909,0.0109090909090909,0.00727272727272727,0.00363636363636364,0,0,0,0.0145454545454545,0,0.00727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDA-MB-231",0.161290322580645,0.039426523297491,0.139784946236559,0.150537634408602,0.0645161290322581,0.00716845878136201,0.003584229390681,0,0.003584229390681,0,0,0,0,0,0,0.039426523297491,0.232974910394265,0.0573476702508961,0.010752688172043,0,0,0,0,0,0,0,0,0,0.0573476702508961,0.025089605734767,0.00716845878136201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDA-MB-361",0.0876865671641791,0.0634328358208955,0.138059701492537,0.082089552238806,0.0559701492537313,0.0186567164179104,0.0130597014925373,0.00186567164179104,0,0,0,0,0,0,0,0.125,0.205223880597015,0.042910447761194,0.0111940298507463,0,0.00186567164179104,0.00373134328358209,0.00186567164179104,0.00186567164179104,0.00186567164179104,0,0,0,0.0764925373134328,0.0298507462686567,0.0223880597014925,0.0111940298507463,0.00373134328358209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDA-MB-415",0.117977528089888,0.0533707865168539,0.115168539325843,0.0870786516853933,0.0674157303370786,0.0140449438202247,0.0196629213483146,0.00280898876404494,0.00280898876404494,0.0112359550561798,0.00280898876404494,0,0,0,0,0.132022471910112,0.140449438202247,0.0589887640449438,0.0168539325842697,0.0337078651685393,0.0140449438202247,0.0168539325842697,0.0112359550561798,0.00561797752808989,0,0,0,0,0.0646067415730337,0,0.00280898876404494,0,0,0.00280898876404494,0.00280898876404494,0.00280898876404494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDA-MB-436",0.093816631130064,0.0213219616204691,0.245202558635394,0.0746268656716418,0.166311300639659,0.0341151385927505,0.0170575692963753,0.00852878464818763,0.00213219616204691,0,0.00213219616204691,0,0,0,0,0.00426439232409382,0.0724946695095949,0.0213219616204691,0.0106609808102345,0.00852878464818763,0,0,0,0,0,0,0,0,0.11727078891258,0.046908315565032,0.0383795309168444,0.00426439232409382,0.00213219616204691,0,0,0,0,0,0,0.00639658848614072,0.00213219616204691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDA-MB-453",0.075,0.00357142857142857,0.0660714285714286,0.0660714285714286,0.148214285714286,0.0446428571428571,0.0321428571428571,0.00535714285714286,0.00357142857142857,0.00178571428571429,0.00178571428571429,0.00178571428571429,0,0,0,0.00178571428571429,0.0339285714285714,0.0214285714285714,0.0125,0.00178571428571429,0.00357142857142857,0.00535714285714286,0.00178571428571429,0.00178571428571429,0.00178571428571429,0,0.00178571428571429,0,0.194642857142857,0.0410714285714286,0.151785714285714,0.0303571428571429,0.0160714285714286,0.00178571428571429,0,0.00178571428571429,0,0,0,0.00357142857142857,0.00714285714285714,0.00892857142857143,0.00178571428571429,0,0.00178571428571429,0.00178571428571429,0,0,0,0,0,0,0,0,0,0,0,0
